State,Asthma,Heart,Income,Poverty,Smoker,Abbr
Alabama,14.6,5.6,42830,19.252577,21.1,AL
Alaska,12.4,2.4,71583,11.233721,19.9,AK
Arizona,14.3,4,50068,18.241194,16.5,AZ
Arkansas,13.3,6.2,41262,18.866083,24.7,AR
California,12.7,3.7,61933,16.445246,12.9,CA
Colorado,12.2,3,61303,12.044454,15.7,CO
Connecticut,14.1,3.7,70048,10.751919,15.4,CT
Delaware,14.4,4.8,59716,12.478741,19.9,DE
District of Columbia,17.2,2.4,71648,17.725647,16.4,DC
Florida,12.2,5.4,47463,16.49502,17.7,FL
Georgia,13.8,4.1,49321,18.302064,17.4,GA
Hawaii,16.2,3.4,69592,11.358787,14.1,HI
Idaho,12.3,3.4,47861,14.845208,15.9,ID
Illinois,14,3.6,57444,14.353777,16.5,IL
Indiana,14.6,4.6,49446,15.242495,22.9,IN
Iowa,13.2,4.1,53712,12.240716,18.5,IA
Kansas,13.6,4.2,52504,13.564464,18.1,KS
Kentucky,16.9,6,42958,19.122184,26.2,KY
Louisiana,12.5,6.2,44555,19.841076,24,LA
Maine,16.4,5.4,49462,14.125945,19.3,ME
Maryland,13.5,3.2,73971,10.107625,14.6,MD
Massachusetts,17.6,4.3,69160,11.63246,14.7,MA
Michigan,15.4,5.4,49847,16.195711,21.2,MI
Minnesota,11.8,3.5,61481,11.464567,16.3,MN
Mississippi,12.6,4.7,39680,21.520271,23,MS
Missouri,14.5,4.8,48363,15.456385,20.6,MO
Montana,13.4,3.6,46328,15.426994,19.9,MT
Nebraska,12.2,3.9,52686,12.434078,17.3,NE
Nevada,12.3,4.7,51450,15.236178,17,NV
New Hampshire,14.1,4.2,66532,9.1637,17.5,NH
New Jersey,12.4,4.4,71919,11.103462,15.1,NJ
New Mexico,14.4,3.9,44803,21.322301,19.2,NM
New York,15,4.2,58878,15.929137,14.4,NY
North Carolina,11.5,5,46556,17.217514,19.1,NC
North Dakota,12.2,4.1,59029,11.545047,19.9,ND
Ohio,15,4.8,49308,15.836433,21,OH
Oklahoma,14.3,5.4,47529,16.593621,21.1,OK
Oregon,16.6,4,51075,16.552052,17,OR
Pennsylvania,14.3,5.1,53234,13.597657,19.9,PA
Rhode Island,15.2,4.2,54891,14.335183,16.3,RI
South Carolina,13.1,4.8,45238,17.986657,21.5,SC
South Dakota,11.2,4.2,50979,14.17356,18.6,SD
Tennessee,14.4,5.6,44361,18.33989,24.2,TN
Texas,11.1,3.7,53035,17.174129,14.5,TX
Utah,13.4,2.5,60922,11.729742,9.7,UT
Vermont,16.5,4.1,54166,12.154651,16.4,VT
Virginia,12.7,4,64902,11.799005,19.5,VA
Washington,14.8,3.6,61366,13.187553,15.3,WA
West Virginia,14.5,7.8,41059,18.280721,26.7,WV
Wisconsin,12.7,3.7,52622,13.175191,17.4,WI
Wyoming,12,4,57055,11.185497,19.5,WY
