City,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,WindSpeed,URL
vaini,to,-21.2,-175.2,82.39999999999992,69,75,4.57,"http://api.openweathermap.org/data/2.5/weather?q=vaini,to&appid=4cc2a844092656dedc2d4db74f22bdb6"
punta arenas,cl,-53.16,-70.91,46.39999999999998,52,40,11.3,"http://api.openweathermap.org/data/2.5/weather?q=punta arenas,cl&appid=4cc2a844092656dedc2d4db74f22bdb6"
ushuaia,ar,-54.81,-68.31,40.99999999999994,75,75,15.4,"http://api.openweathermap.org/data/2.5/weather?q=ushuaia,ar&appid=4cc2a844092656dedc2d4db74f22bdb6"
hermanus,za,-34.42,19.24,52.19420000000002,95,0,1.47,"http://api.openweathermap.org/data/2.5/weather?q=hermanus,za&appid=4cc2a844092656dedc2d4db74f22bdb6"
bredasdorp,za,-34.53,20.04,55.39999999999992,82,0,2.1,"http://api.openweathermap.org/data/2.5/weather?q=bredasdorp,za&appid=4cc2a844092656dedc2d4db74f22bdb6"
port alfred,za,-33.59,26.89,64.25420000000003,96,0,2.97,"http://api.openweathermap.org/data/2.5/weather?q=port alfred,za&appid=4cc2a844092656dedc2d4db74f22bdb6"
busselton,au,-33.64,115.35,68.30419999999998,100,0,9.67,"http://api.openweathermap.org/data/2.5/weather?q=busselton,au&appid=4cc2a844092656dedc2d4db74f22bdb6"
albany,au,-35.02,117.88,59.39420000000001,94,24,4.07,"http://api.openweathermap.org/data/2.5/weather?q=albany,au&appid=4cc2a844092656dedc2d4db74f22bdb6"
new norfolk,au,-42.78,147.06,48.19999999999993,70,20,2.1,"http://api.openweathermap.org/data/2.5/weather?q=new norfolk,au&appid=4cc2a844092656dedc2d4db74f22bdb6"
hobart,au,-42.88,147.33,48.19999999999993,70,20,2.1,"http://api.openweathermap.org/data/2.5/weather?q=hobart,au&appid=4cc2a844092656dedc2d4db74f22bdb6"
bluff,nz,-46.6,168.33,66.4142,78,36,8.82,"http://api.openweathermap.org/data/2.5/weather?q=bluff,nz&appid=4cc2a844092656dedc2d4db74f22bdb6"
kruisfontein,za,-34,24.73,62.09420000000006,96,0,3.32,"http://api.openweathermap.org/data/2.5/weather?q=kruisfontein,za&appid=4cc2a844092656dedc2d4db74f22bdb6"
kaitangata,nz,-46.28,169.85,64.43419999999998,83,80,5.07,"http://api.openweathermap.org/data/2.5/weather?q=kaitangata,nz&appid=4cc2a844092656dedc2d4db74f22bdb6"
rikitea,pf,-23.12,-134.97,80.09420000000006,100,48,6.92,"http://api.openweathermap.org/data/2.5/weather?q=rikitea,pf&appid=4cc2a844092656dedc2d4db74f22bdb6"
cape town,za,-33.93,18.42,62.599999999999966,77,0,5.1,"http://api.openweathermap.org/data/2.5/weather?q=cape town,za&appid=4cc2a844092656dedc2d4db74f22bdb6"
mar del plata,ar,-46.43,-67.52,49.134199999999964,61,0,7.62,"http://api.openweathermap.org/data/2.5/weather?q=mar del plata,ar&appid=4cc2a844092656dedc2d4db74f22bdb6"
east london,za,-33.02,27.91,69.74420000000003,100,0,4.27,"http://api.openweathermap.org/data/2.5/weather?q=east london,za&appid=4cc2a844092656dedc2d4db74f22bdb6"
port elizabeth,za,-33.92,25.57,60.80000000000001,87,0,3.1,"http://api.openweathermap.org/data/2.5/weather?q=port elizabeth,za&appid=4cc2a844092656dedc2d4db74f22bdb6"
chuy,uy,-33.69,-53.46,70.10420000000005,74,0,5.37,"http://api.openweathermap.org/data/2.5/weather?q=chuy,uy&appid=4cc2a844092656dedc2d4db74f22bdb6"
