,Compound,Date,Negative,Neutral,Positive,Source,Text
0,0.0,03/28/2018,1.0,0.0,0.0,@BBCworld,Utah trooper hit by skidding car https://t.co/sgr0ZHWwX3
1,0.0,03/28/2018,1.0,0.0,0.0,@BBCworld,Kim in Beijing: Why Xi's still the one he needs to see https://t.co/PefHB8UprZ
2,0.128,03/28/2018,0.544,0.211,0.245,@BBCworld,Trèbes attack: Paris ceremony for hero policeman Arnaud Beltrame https://t.co/6naeoAd4HT
3,0.0,03/28/2018,1.0,0.0,0.0,@BBCworld,"Australia's indigenous languages have one source, study says https://t.co/7QoMFrTeBU"
4,0.0,03/28/2018,0.645,0.177,0.177,@BBCworld,Tesla and Nvidia shares fall amid driverless car doubts https://t.co/ZvAPiF6wgd
5,0.5719,03/28/2018,0.73,0.0,0.27,@BBCworld,Canada teen wins $1000 a week for life on 18th birthday https://t.co/NeTuIPmXby
6,-0.7783,03/28/2018,0.473,0.527,0.0,@BBCworld,Alton Sterling: No charges in 2016 fatal police shooting https://t.co/ahSn5LVRLc
7,0.0,03/28/2018,1.0,0.0,0.0,@BBCworld,N Korea's Kim Jong-un visits China's Xi https://t.co/SEc2LT35DA
8,0.4019,03/28/2018,0.881,0.0,0.119,@BBCworld,"RT @BBCNewsAsia: Definitely not something you see every day. 🐘

A video of a 'smoking' wild elephant in India is baffling scientists and wi…"
9,-0.4019,03/28/2018,0.891,0.109,0.0,@BBCworld,"RT @BBCNewsAsia: Vietnamese singer and activist Mai Khoi has been detained in Hanoi on her return home from a European tour.

She was held…"
10,0.0,03/28/2018,1.0,0.0,0.0,@BBCworld,Letter from Africa: Will age be a factor in Zimbabwe's poll? https://t.co/4UunbFffbZ
11,-0.0772,03/28/2018,0.822,0.178,0.0,@BBCworld,The world's toughest place to study? https://t.co/JdkkQo8XtQ
12,0.0,03/28/2018,1.0,0.0,0.0,@BBCworld,Can the ad industry persuade us to eat more vegetables? https://t.co/Jtss2hwwHd
13,0.2732,03/28/2018,0.792,0.0,0.208,@BBCworld,5 pop songs you didn't know were about God https://t.co/lL4RlGDqWc
14,0.4404,03/28/2018,0.804,0.0,0.196,@BBCworld,Kim Jong-un's Beijing visit is considered a significant step in North Korea's preparation for talks agreed in princ… https://t.co/eD7Xv8h709
15,0.5859,03/28/2018,0.817,0.0,0.183,@BBCworld,"@BBCBreaking North Korea's leader Kim Jong-un has visited Beijing and held ""successful talks"" with Chinese leader X… https://t.co/bvNkLb8m89"
16,0.0,03/28/2018,1.0,0.0,0.0,@BBCworld,China confirms Kim Jong-un visit https://t.co/eRxfJKgLZc
17,-0.7841,03/28/2018,0.537,0.463,0.0,@BBCworld,Fired Vancouver waiter case: Are the French really rude? https://t.co/ETb72MasiY
18,0.5095,03/28/2018,0.798,0.0,0.202,@BBCworld,RT @BBCDanielS: BBC Exclusive interview with Sergei Skripal’s niece: “I would really like to know how they are” https://t.co/UQHT7fZv2y
19,0.0,03/28/2018,1.0,0.0,0.0,@BBCworld,"This 'smoking' elephant in India is baffling experts

https://t.co/4oBCX8OR7q https://t.co/5nVKiPNUZF"
20,-0.2516,03/28/2018,0.603,0.229,0.168,@BBCworld,Spy poisoning: 'I would really like to know how they are' https://t.co/6hK6i3Co1S
21,0.0,03/28/2018,1.0,0.0,0.0,@BBCworld,Brazilian sports reporters tackle on-air groping https://t.co/MOxFd4yreE
22,0.6705,03/28/2018,0.538,0.13,0.332,@BBCworld,"RT @BBCNews: Owl ring-bearer attacks best man at wedding... prompting hoots of laughter 🦉

https://t.co/DjhjEdoYhy https://t.co/2x3bedxedn"
23,-0.25,03/28/2018,0.778,0.222,0.0,@BBCworld,Nearly a million watch cat stuck up pole https://t.co/aw9PbAliF3
24,-0.5106,03/28/2018,0.798,0.202,0.0,@BBCworld,"RT @BBCSport: Australia coach Darren Lehmann denied ball-tampering during the Ashes when questioned at Johannesburg airport by @danroan 

W…"
25,-0.4588,03/28/2018,0.857,0.143,0.0,@BBCworld,"RT @richard_conway: Sanctions announced against the three players within 24 hours by Cricket Australia. 
A nation is incensed, a Prime Mini…"
26,0.7964,03/28/2018,0.664,0.0,0.336,@BBCworld,"I want to apologise to ""kids who love cricket and idolise the players"" - Cricket Australia boss James Sutherland on… https://t.co/evTGNOU23c"
27,0.2023,03/28/2018,0.913,0.0,0.087,@BBCworld,"RT @richard_conway: Smith, Bancroft and Warner said to be only players with knowledge of ball tampering intentions... significant words in…"
28,-0.34,03/28/2018,0.806,0.194,0.0,@BBCworld,Russia fire: Protester spoke on the phone to dying wife https://t.co/YDLIjNDGNg
29,0.0,03/28/2018,1.0,0.0,0.0,@BBCworld,"RT @bbctms: James Sutherland says only 3 people involved in ball tampering incident. 

Steve Smith, David Warner &amp; Cameron Bancroft. 

""Ser…"
30,0.0,03/28/2018,1.0,0.0,0.0,@BBCworld,RT @richard_conway: Full statement from Cricket Australia: https://t.co/GqIh4ynYtE
31,0.0,03/28/2018,1.0,0.0,0.0,@BBCworld,"Australia ball-tampering: Steve Smith, David Warner, Cameron Bancroft sent home https://t.co/gBTooWUkS4"
32,0.0,03/28/2018,1.0,0.0,0.0,@BBCworld,"RT @richard_conway: Cricket Australia to conduct review into conduct and culture of team.
Sanctions to be announced within 24 hours."
33,-0.0516,03/28/2018,0.938,0.062,0.0,@BBCworld,"RT @richard_conway: Breaking:
Cricket Australia say Steve Smith, David Warner, Cameron Bancroft to leave South Africa tomorrow.
Head coach…"
34,-0.3182,03/28/2018,0.723,0.277,0.0,@BBCworld,JWST: Hubble 'successor' faces new delay https://t.co/eXx0Vxqfb6
35,-0.296,03/28/2018,0.82,0.18,0.0,@BBCworld,France to lower school starting age from six to three https://t.co/Us998C0PsN
36,-0.4767,03/28/2018,0.721,0.279,0.0,@BBCworld,William Strampel: Michigan supervisor of Larry Nassar arrested https://t.co/1dROZkhAjO
37,-0.5719,03/28/2018,0.701,0.299,0.0,@BBCworld,Kemerovo fire: Who are the victims in the Russia leisure centre blaze? https://t.co/tX0BjbjBtL
38,0.5423,03/28/2018,0.759,0.0,0.241,@BBCworld,"RT @BBC_HaveYourSay: Chicago superior? The phenomenon of the media-savvy slam-dunk nun
https://t.co/p6WqsUEDY7"
39,-0.6808,03/28/2018,0.556,0.444,0.0,@BBCworld,Kemerovo fire damage seen from inside gutted mall https://t.co/O75q4RgqPx
40,0.0,03/28/2018,1.0,0.0,0.0,@BBCworld,"Twenty million Indians apply for 100,000 railway jobs https://t.co/DzmNwTG5wQ"
41,0.0,03/28/2018,1.0,0.0,0.0,@BBCworld,When is a diplomat really just a spy? https://t.co/b8C7t86gI5
42,0.0,03/28/2018,1.0,0.0,0.0,@BBCworld,Why bear cubs are spending longer with their mothers https://t.co/LabQd7LPk3
43,0.7906,03/28/2018,0.462,0.0,0.538,@BBCworld,US teen author wins Astrid Lindgren prize https://t.co/X7PfD88XPo
44,-0.3182,03/28/2018,0.723,0.277,0.0,@BBCworld,Argentine government mocked over heterosexuality tweet https://t.co/Ve8pBTidUa
45,0.5106,03/28/2018,0.852,0.0,0.148,@BBCworld,".@NATO is reducing the size of the Russian mission to the organisation, in a ""strong message"" to Moscow after Salis… https://t.co/VKb4QKoy1a"
46,-0.7269,03/28/2018,0.496,0.504,0.0,@BBCworld,Kemerovo fire: Crowds direct fury at Putin https://t.co/kfzgKL64BQ
47,-0.3612,03/28/2018,0.688,0.192,0.12,@BBCworld,"RT @BBCNews: ""I was on my own. Just trying to do my best""

Rob Grew - who helped in the aftermath of the Manchester Arena attack last year…"
